id,name,type,effects,ailment,flavor,location,thc,cbd,Citrus,Sweet,Earthy,Pine,Skunk,Berry,Lemon,Lime,Blueberry,Strawberry,Mango,Rose,Pepper,Depression,Pain,Insomnia,Stress,Lack of Appetite,Muscle Spasms,Nausea,Inflammation,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry Mouth,Focused,Energetic,Paranoid,Anxious,Hungry,Talkative,Creative,Type,Rating,Effects,Flavor,Description
1983,MERLOT OG,Hybrid,"Relaxed, Happy, Uplifted, Euphoric, Tingly, Dry Mouth","Stress, Insomnia, Muscle Spasms, Depression",Earthy,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Tingly","Butter,Flowery,Earthy","SoCal cannabis breeders Ocean Grown Seeds originally designed the Merlot OG in 2006 as an attempt to create an OG Kush-type plant with deep purple colors by crossing Larry OG and Grape Ape. The resulting plant was then crossed with Blackberry Rhino x SFV OG and then backcrossed to stabilize its OG characteristics. Merlot OG produces large, dense indica-type buds that are blanketed in white trichomes and will often turn dark purple, especially in cooler conditions. "
1984,MILKY WAY,Hybrid,"Euphoric, Happy, Relaxed, Sleepy, Tingly, Dry Mouth, Paranoid","Stress, Depression, Pain, Nausea","Sweet, Lavender",Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,indica,4.7,"Relaxed,Happy,Euphoric,Energetic,Focused","Sweet,Menthol,Pepper","Milky Way is an 80/20 indica-dominant blend bred by Kiwiseeds. Named for the milky white trichomes that cover its buds and sugar leaves, Milky Way has a sweet aroma with flavors of sugar and spice. The effects are characterized as potent, relaxing, and full-bodied thanks to the heavy indica influence."
1987,MONEY MAKER,Hybrid,"Relaxed, Sleepy, Happy, Hungry, Uplifted, Dry Mouth, Paranoid","Pain, Insomnia, Muscle Spasms, Depression, Lack of Appetite","Earthy, Berry, Skunk",Unknown,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Berry,Skunk","Money Maker is a blend of three of the finest old school cannabis varieties. Breeder Strain Hunters has mixed the potency and vitality of Master Kush and Hindu Kush in combination with the vigorous growth and sweet flavors of Skunk #1 to form an indica-dominant cross that can be appreciated by cultivators and connoisseurs alike. Its aroma is a sharp mixture of spiced berries and piney kush. Money Maker provides an earthy mix of flavors reminiscent of dried fruits and roasted nuts that produce immediate relaxing effects. A good choice for insomnia or to stimulate your appetite, Money Maker is a strain that many reserve for the end of their day. "
1991,MOTAVATION,Hybrid,"Relaxed, Creative, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Muscle Spasms",Sweet,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,indica,3.9,"Relaxed,Creative,Sleepy,Giggly,Euphoric","Pungent,Sweet,Flowery","Motavation, first bred by Magus Seeds, is an indica-dominant hybrid strain that combines genetics from Sensi Star and Warlock. While its name may suggest a boost of energy and focus, don’t let yourself be deceived: Motavation typically locks you to the couch in a blissful state of relaxed happiness. However, many consumers do report cerebral engagement conducive for creativity, but whether or not you have the energy to make anything of it is another story. This mostly indica cannabis strain has a sweet, fruity and floral aroma that is accented by a sour chemical smell, and patients report Motavation’s success in treating anxiety, muscle spasms, pain, and insomnia."
1997,NEXUS OG,Hybrid,"Relaxed, Euphoric, Happy, Horny, Sleepy, Dry Mouth","Depression, Insomnia, Lack of Appetite, Nausea","Sweet, Berry, Earthy",Unknown,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,indica,4.8,"Relaxed,Euphoric,Happy,Aroused,Sleepy","Sweet,Berry,Earthy",Nexus OG is an indica strain that competed in the 2014 L.A. Cannabis Cup.
1998,NICE CHERRY,Hybrid,"Happy, Talkative, Uplifted, Relaxed, Hungry, Dry Mouth","Depression, Insomnia, Lack of Appetite, Stress","Sweet, Berry",Unknown,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,indica,4.6,"Happy,Talkative,Uplifted,Relaxed,Hungry","Sweet,Berry,Pungent","Nice Cherry is an indica-dominant strain that captures the flavorful qualities of its Cherry parent and the relaxing attributes of Mr. Nice. With an aroma of sweet skunk, pine, and berry, Nice Cherry delivers a rush of cerebral energy that lifts the mood while relaxing the body. It’ll also bring an edge back to your appetite while providing focus to keep you productive."
1999,NICOLE KUSH,Hybrid,"Relaxed, Euphoric, Sleepy, Uplifted, Dry Mouth","Insomnia, Depression","Earthy, Sweet",Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,indica,4.9,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Pungent,Sweet,Woody","Nicole Kush is a 75/25 indica-dominant strain that will satisfy your need for potency as well as flavor. Kosher Kush from DNA Genetics teamed up with the Nicole indica from Marimberos to create a dynamic variety that captures sweet and woody flavors with a touch of lemon. Deep relaxation overtakes the body, leaving the mind calm and introspective. Its buds bloom with chunky calyxes that may take on a stunning blue hue as they mature, depending on the phenotype. A delight for novice cultivators, Nicole Kush is a hardy, low-maintenance plant that gives way to large yields so long as it’s raised indoors, in a greenhouse, or in a warm Mediterranean climate."
2000,NIGHT TERROR OG,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid","Insomnia, Stress, Pain, Depression","Berry, Earthy",Unknown,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,indica,4.6,"Relaxed,Sleepy,Happy,Tingly,Euphoric","Earthy,Berry,Grape","Night Terror OG is what you get when you combine Blue Dream with Rare Darkness #1 genetics. This cleverly named hybrid sways heavily toward the indica side of the spectrum, inducing relaxing effects that sink deeper in the body over time. You may find your eyelids feeling heavy before long, but don’t let a name like Night Terror OG fool you: a good night’s sleep is on its way. This 70% indica isn’t necessarily a day-ender, as the OG Kush in Rare Darkness’ genes provides a heady, invigorating buzz that deteriorates stress at the end of a long day. These effects are ushered in by flavors of blueberry and fruit with subtle notes of lemon, pine, and diesel."
2001,NIGHT TRAIN,Hybrid,"Relaxed, Sleepy, Tingly, Euphoric, Uplifted","Insomnia, Pain, Stress, Lack of Appetite",Pepper,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,indica,3.9,"Relaxed,Sleepy,Tingly,Euphoric,Uplifted","Pepper,Pungent,Chemical","Night Train is an indica-dominant cross between Jasmine and Trainwreck released by Elemental Seeds in California. DNA Genetics also has a strain with these genetics, but they’ve named their rendition Cole Train. With a pungent and spicy aroma reminiscent of Colombian sativas, Night Train delivers a body-melting blast of relaxing euphoria perfect for unwinding after a long day. Growers will appreciate this resilient and hardy strain as it produces heavy yields following a short flowering cycle."
2002,NORDLE,Hybrid,"Relaxed, Happy, Sleepy, Focused, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation, Muscle Spasms",Pine,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,indica,4.4,"Relaxed,Happy,Creative,Uplifted,Focused","Sweet,Citrus,Pungent","Nordle, named after Howard Marks’ code word for “hashish,” is a high-CBD indica cross between Afghani and Skunk. With a CBD content as high as its THC concentrations, Nordle delivers mild effects that relieve pain and muscle spasms. Nordle, which flowers in 8 to 10 weeks, produces dense, conic buds with a pungent fruity and herbal aroma."
2005,NORTHERN WRECK,Hybrid,"Euphoric, Happy, Relaxed, Creative, Uplifted, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Earthy, Pine",Unknown,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,indica,4.8,"Relaxed,Euphoric,Happy,Tingly,Creative","Earthy,Woody,Citrus","Northern Wreck is an indica-dominant strain that combines the dizzying strength of Northern Lights with the complex cerebral sensations of Trainwreck. Get to a comfortable place, because Northern Wreck will leave you melting under the force of its euphoria. With its heavy yields and fast flowering cycle, Northern Wreck is a blessing to commercial growers looking to harvest a lot of product quickly."
2006,NUKEN,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Depression, Lack of Appetite, Pain","Citrus, Earthy",Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,indica,4.5,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Sweet,Earthy,Woody","The mostly indica Nuken is a Canadian strain bred by combining genetics from Kish (a cross of two Shishkaberry parents) and God Bud. Her even-keeled effects are delivered alongside a sweet, earthy aroma of fresh herbs and grass. While undeniably strong, Nuken typically leaves you functional enough to still enjoy hobbies and the company of friends. Nuken blooms with rounded, dense buds covered in a blanket of crystal resin veiling its sage hues."
2007,OBAMA KUSH,Hybrid,"Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Muscle Spasms","Earthy, Sweet",Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent","This unique indica appropriately channels the President’s famous message of ‘Change’ as it invigorates and inspires. Daughter of indica Afghani and mostly sativa hybrid OG Kush, Obama Kush sets itself apart from other indicas through its cerebral stimulation and euphoric rush. This strain is recommended for all levels of patients looking for a balanced experience, as it offers powerful physical effects as well as an intense cerebral uplift that does not stimulate appetite or put you to sleep. The flowers are frosty with a purple hue and reddish hairs, giving off a light aroma."
2012,OGRE BERRY,Hybrid,"Focused, Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Lack of Appetite, Insomnia, Pain, Depression","Blueberry, Berry, Earthy",Unknown,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,indica,4.3,"Happy,Relaxed,Focused,Sleepy,Giggly","Blueberry,Berry,Earthy","Ogre Berry is an indica-dominant strain cultivated in the highlands of Northern Mendocino County by HappyDay Farms. Combining Ogre with Island Strawberry Afghani Indica, Ogre Berry regularly tests between 24-28% THC and offers potent relief to aches and pains. Heavy euphoria blankets the mind with sensations of calm relaxation, and while these effects come with great medicinal potential, you may want to set this strain aside when faced with a busy day or cognitive tasks. Sweet citrus flavors meet a fuel-like skunk aroma, creating a sweet and sour fusion to be enjoyed by terpene enthusiasts."
2016,OREGON DIESEL,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious","Depression, Stress, Insomnia, Pain",Earthy,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,indica,4.5,"Relaxed,Happy,Sleepy,Tingly,Euphoric","Diesel,Earthy,Pine",Oregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights.
2017,ORTEGA,Hybrid,"Relaxed, Uplifted, Euphoric, Sleepy, Dry Mouth","Depression, Pain","Pepper, Earthy",Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,indica,4.8,"Relaxed,Giggly,Uplifted,Euphoric,Sleepy","Spicy/Herbal,Pepper,Earthy","Ortega by Mr. Nice Seeds is an indica strain bred from Northern Lights genetics. Since its creation in the mid-1980s, Oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. Its effects are heavily tranquilizing and help to usher in sleep with late night use. "
2025,PETROLIA HEADSTASH,Hybrid,"Uplifted, Happy, Relaxed, Horny, Euphoric, Anxious","Stress, Inflammation, Pain",Berry,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,indica,4.6,"Relaxed,Euphoric,Uplifted,Happy,Aroused","Pungent,Violet,Woody","The coveted Petrolia Headstash by Reeferman Seeds originates from Afghanistan by way of Humbolt County. Its pungent, compact buds have a hashy taste with flavors of pine, wood, and earth. The heavy indica effects will leave many feeling drowsy and relaxed which can help suppress symptoms like cramps, pain, and elevated stress levels. A thick coating of trichomes makes it great for producing hash and other concentrates. Decades of inbreeding have made this strain extremely hearty and ideal for breeding purposes, and Petrolia Headstash's genetics can be found in other indica powerhouses like Herijuana."
2031,PINE TAR KUSH,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Insomnia, Inflammation","Pine, Earthy",Unknown,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,indica,4.5,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Pine,Woody,Earthy",Pine Tar Kush stems from a family of pure indica genetics native to Pakistan. This cannabis strain is nearly unaltered from its original genetic form and expresses itself with bright green hues and a skunky aroma. The rich Kush flavor of pine mixes with sweet undertones that give way to Pine Tar Kush’s calming yet talkative buzz.
2032,PINK BERRY,Hybrid,"Sleepy, Uplifted, Horny, Talkative, Tingly","Insomnia, Depression",Sweet,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,indica,4.0,"Sleepy,Uplifted,Aroused,Tingly,Euphoric","Sweet,Flowery,Butter","Pink Berry by Apothecary Genetics is a delicious indica-dominant strain with relaxation on tap. This strain is the heavy-hitting combination of Pink Champagne and Blackberry, offering sweet, fruity overtones while keeping a root firmly planted in OG genetics. Pink Berry fills the mind with uplifting, euphoric energy while simultaneously weighing the limbs down with deep relaxation, making it ideal for consumers seeking relief from restlessness, chronic physical pain, and cranky moods."
2035,PINK DEATH STAR,Hybrid,"Relaxed, Euphoric, Happy, Uplifted, Tingly, Dry Mouth","Pain, Depression, Lack of Appetite, Nausea, Insomnia","Earthy, Berry",Unknown,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,indica,4.7,"Relaxed,Sleepy,Euphoric,Happy,Tingly","Earthy,Spicy/Herbal,Flowery","Pink Death Star is a flavorful creation by Riot Seeds. Known for its “spice rack” terpene profile, this strain reeks of cardamom, fennel, ginger, and pepper. This collection of flavors and the strain’s naturally high THC percentage make it a worthwhile addition to any strain collection. Pink Death Star delivers buds with deep purple hues and body-melting sedation, so naturally, this strain is best utilized in the evening.  "
